"","QKEY","INTERVIEW_START_W84","INTERVIEW_END_W84","DEVICE_TYPE_W84","LANG_W84","FORM_W84","XATTEND_W84","XCATHOLIC_W84","SATIS_W84","POL1JB_W84","POL1JBSTR_W84","POL1JB_4_W84","JBCONF_PUBH_W84","JBCONF_FRGN_W84","JBCONF_ECON_W84","JBCONF_CRIM_W84","JBCONF_CLSR_W84","JBCONF_RACE_W84","JBCONF_IMMI_W84","BIDENDESC_MDL_W84","BIDENDESC_ORD_W84","BIDENDESC_MENT_W84","BIDENDESC_STND_W84","BIDENDESC_HON_W84","PRESGOODTRUMP_W84","TRUMPPROG_W84","INSTFAV_a_W84","INSTFAV_b_W84","REPPTYTRAIT_a_W84","REPPTYTRAIT_f_W84","REPPTYTRAIT_b_W84","REPPTYTRAIT_g_W84","DEMPTYTRAIT_a_W84","DEMPTYTRAIT_f_W84","DEMPTYTRAIT_b_W84","DEMPTYTRAIT_g_W84","COVIDSPIR_W84","PPLFAV_a_W84","PPLFAV_b_W84","PPLFAV_c_W84","CAND_b_W84","CAND_d_W84","CAND_g_W84","BIDENRELIG_W84","HARRISRELIG_W84","BIDRELTLK_W84","JAN6LE_IMP_W84","JAN6LE_CONF_W84","JAN6PEN_A_W84","JAN6PEN_B_W84","JAN6ATTN_W84","IMPEACHACT2_W84","ATTENDMONTH_W84","ATTENDONLINE_W84","COVIDCONG2_W84","COVIDCONG3_W84","COVIDCONG4_W84","CONGRESTRICT1_a_W84","CONGRESTRICT1_b_W84","CONGRESTRICT1_c_W84","CONGRESTRICT1_d_W84","CONGRESTRICT1_e_W84","CONGRESTRICT2_a_W84","CONGRESTRICT2_b_W84","CONGRESTRICT2_c_W84","CONGRESTRICT2_d_W84","CONGRESTRICT2_e_W84","ATTENDCONF_W84","SERMONISSUE_h_W84","SERMONISSUE_i_W84","SERMONISSUE_j_W84","SERMONISSUE_k_W84","ESTR21_W84","ESTRTYP_W84","THERMTRUMP_W84","THERMBIDEN_W84","VLNTEXTR2_ISL_W84","VLNTEXTR2_CHR_W84","VLNTEXTR2_LEFT_W84","VLNTEXTR2_RGHT_W84","ECON1_W84","ECON1B_W84","COVID_ASSIST21_W84","COVIDLEG21A_W84","BIDEN_GOODFAITHC_W84","REPS_GOODFAITHC_W84","COVID_LIFEN_W84","COVID_JOBSN_W84","DISCRRIM_a_W84","DISCRRIM_b_W84","DISCRRIM_c_W84","DISCRRIM_j_W84","DISCRRIM_d_W84","DISCRRIM_e_W84","DISCRRIM_i_W84","DISCRRIM_f_W84","DISCRRIM_g_W84","DISCRRIM_h_W84","VTCHNGRULES_W84","VTEFFORT_W84","PARTY_W84","PARTYLN_W84","PARTYSTR_W84","REPPTYACC_a_W84","REPPTYACC_b_W84","REPPTYACC_c_W84","REPPTYACC_d_W84","DEMPTYACC_a_W84","DEMPTYACC_b_W84","DEMPTYACC_d_W84","COMMIF_a_W84","COMMIF_b_W84","COMMIF_c_W84","COMMIF_d_W84","BIDENCM_W84","CHRNATa_W84","CHRNATb_W84","CHRNATc_W84","CHRNATd_W84","CHRNATe_W84","CHRNATf_W84","CHRNATg_W84","RELRTHRD_W84","RELLTHRD_W84","RELRTAG_W84","RELLTAG_W84","QANON_KNOW_W84","QANON_FAV_W84","F_METRO","F_CREGION","F_CDIVISION","F_AGECAT","F_GENDER","F_EDUCCAT","F_EDUCCAT2","F_HISP","F_HISP_ORIGIN","F_YEARSINUS","F_RACECMB","F_RACETHNMOD","F_CITIZEN","F_BIRTHPLACE2","F_MARITAL","F_RELIG","F_BORN","F_RELIGCAT1","F_ATTEND","F_PARTY_FINAL","F_PARTYLN_FINAL","F_PARTYSUM_FINAL","F_PARTYSUMIDEO_FINAL","F_INC_SDT1","F_REG","F_IDEO","F_INTFREQ","F_VOLSUM","F_INC_TIER2","WEIGHT_W84","WEIGHT_W70_W84","WEIGHT_W80_W84","attend"
"11",102198,2021-03-03 13:50:13,2021-03-03 14:10:43,1,1,1,1,2,2,NA,NA,4,3,3,4,4,3,3,3,NA,NA,NA,NA,NA,2,NA,2,3,2,NA,3,2,1,NA,3,3,1,3,3,8,3,3,3,2,1,3,1,2,3,NA,3,3,1,1,1,2,2,2,1,2,2,1,2,1,2,2,1,1,2,2,2,1,1,1,50,34,2,2,NA,NA,4,2,2,1,NA,NA,2,4,3,2,3,2,3,2,3,NA,NA,NA,2,NA,1,NA,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1,1,1,2,9,9,NA,NA,NA,NA,4,NA,1,1,2,1,2,1,5,2,NA,1,1,1,1,1,6,1,1,1,1,1,NA,1,1,9,1,2,1,1,3,0.984381587858023,NA,NA,"Both"
"12",103060,2021-03-03 18:46:34,2021-03-03 19:51:25,1,1,1,2,1,2,NA,NA,1,1,1,1,2,3,1,1,NA,NA,NA,NA,NA,5,NA,4,2,1,NA,3,3,3,NA,2,1,4,3,4,4,4,2,99,2,9,1,1,1,2,NA,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,85,1,1,NA,NA,3,1,1,3,NA,NA,3,3,1,1,2,1,1,1,2,NA,NA,NA,2,NA,2,NA,1,NA,NA,NA,NA,2,4,NA,1,1,1,1,1,2,9,2,9,2,2,1,NA,NA,NA,NA,3,4,1,3,5,4,2,2,4,2,NA,99,1,1,1,99,1,2,2,2,6,2,NA,2,9,1,1,99,99,1,1,0.518284829622594,0.561397737404516,NA,"Neither"
"13",103094,2021-03-02 14:38:32,2021-03-02 19:44:57,2,1,2,2,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,2,2,NA,4,4,4,NA,4,4,4,NA,3,3,3,3,8,8,8,4,1,2,2,9,3,1,2,NA,2,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,2,0,100,NA,NA,1,1,4,1,1,NA,1,2,3,3,4,4,4,4,NA,NA,NA,4,4,4,NA,2,2,NA,1,NA,NA,NA,NA,1,NA,1,1,1,1,1,1,2,9,9,2,2,9,99,3,3,NA,NA,NA,NA,1,1,2,2,2,3,2,2,NA,1,1,1,1,1,3,2,2,2,4,2,NA,2,3,2,1,3,1,2,1,1.15638607962173,1.14351036214177,0.455479703998877,"Online only"
"14",103379,2021-03-02 15:13:39,2021-03-02 15:45:47,1,1,1,1,2,2,NA,NA,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,1,NA,2,4,3,NA,2,2,1,NA,4,4,3,2,3,2,2,4,4,2,8,1,1,3,2,NA,1,3,2,1,1,2,2,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,1,1,1,0,1,3,NA,NA,2,2,2,1,NA,NA,3,4,2,2,4,2,1,4,4,NA,NA,NA,1,NA,1,NA,1,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,2,1,2,NA,NA,NA,NA,3,3,1,3,5,4,1,2,3,2,NA,1,1,1,1,1,1,1,1,1,2,1,NA,1,1,9,1,2,5,1,3,0.666341601817819,0.712388630365592,NA,"Online only"
"15",103406,2021-03-07 17:52:17,2021-03-07 18:11:51,2,1,2,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,1,2,NA,4,4,1,NA,4,4,4,NA,2,2,2,3,1,4,3,4,2,3,2,9,3,1,2,NA,2,3,1,2,1,1,2,2,1,1,1,1,2,1,1,1,1,1,2,2,2,2,2,2,2,0,90,NA,NA,3,1,3,1,1,NA,1,2,3,3,1,1,3,1,NA,NA,NA,1,1,3,NA,2,2,NA,1,NA,NA,NA,NA,3,NA,2,1,1,1,1,1,2,2,2,2,2,2,2,1,3,4,NA,NA,NA,1,3,5,2,2,1,6,2,NA,1,1,1,1,1,1,2,2,2,3,2,NA,2,4,9,1,4,1,1,2,0.3345530684213,NA,0.733581065004775,"Online only"
"16",103611,2021-03-02 17:15:55,2021-03-02 17:30:05,2,1,2,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,4,3,2,NA,4,4,4,NA,3,2,2,1,1,4,2,3,2,2,1,9,3,1,2,NA,3,2,1,2,1,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,1,1,0,90,NA,NA,1,1,2,1,1,NA,1,2,3,3,3,3,4,2,NA,NA,NA,4,2,3,NA,1,3,1,NA,NA,NA,1,1,NA,NA,NA,1,1,1,1,1,2,2,2,2,2,1,2,3,3,NA,NA,NA,NA,1,1,2,4,2,1,6,2,NA,1,1,1,1,1,6,2,2,2,3,3,1,1,2,1,1,3,2,1,2,0.45810864524933,0.482048627227466,NA,"Online only"
"17",103677,2021-03-02 13:52:27,2021-03-02 14:12:35,2,1,1,2,1,2,NA,NA,4,2,3,4,3,4,4,4,NA,NA,NA,NA,NA,1,NA,2,4,2,NA,2,1,1,NA,4,4,3,4,4,1,2,3,4,2,1,3,3,2,1,NA,1,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,95,10,2,3,NA,NA,4,2,2,1,NA,NA,3,3,2,3,2,1,2,2,3,NA,NA,NA,1,NA,3,1,NA,2,4,NA,NA,NA,NA,NA,2,1,1,1,2,2,2,1,1,2,2,99,NA,NA,NA,NA,3,2,1,1,2,2,1,2,3,2,NA,1,1,1,1,1,1,2,2,2,4,3,1,1,1,9,1,1,1,1,3,0.620422144382734,0.781165069363074,1.18098986581817,"Neither"
"18",104368,2021-03-02 14:09:36,2021-03-02 14:57:33,1,1,2,1,2,2,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,2,2,NA,3,2,2,NA,3,2,2,NA,1,3,2,3,2,4,2,4,2,2,1,1,3,3,1,NA,3,3,2,1,1,1,2,2,2,2,1,1,2,2,2,1,1,2,1,2,2,2,2,1,1,10,70,NA,NA,1,1,2,1,2,NA,2,1,3,3,1,2,3,2,NA,NA,NA,2,1,3,NA,2,3,1,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,1,3,2,NA,NA,NA,1,3,7,4,1,3,2,2,NA,1,1,1,1,1,5,1,1,1,1,3,1,1,1,1,1,2,3,1,2,1.40251054625476,1.28846999911045,0.619237361722459,"Both"
"19",104417,2021-03-02 16:38:27,2021-03-06 12:19:47,2,1,2,1,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,NA,4,3,2,NA,3,3,2,NA,2,2,2,3,1,4,3,3,1,2,2,99,3,1,1,NA,2,3,1,2,1,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,2,2,1,10,90,NA,NA,3,1,3,1,1,NA,1,2,2,4,1,1,3,2,NA,NA,NA,2,1,4,NA,99,2,NA,2,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,2,2,2,9,2,2,2,1,1,2,1,NA,NA,1,2,4,4,2,1,6,2,NA,1,1,1,1,1,1,1,1,1,1,2,NA,2,9,9,1,99,2,1,3,0.365621695187966,0.398290812603235,NA,"Online only"
"20",104689,2021-03-02 13:38:13,2021-03-02 13:58:03,2,1,2,1,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,4,4,1,NA,4,4,4,NA,1,1,1,3,1,4,3,4,1,1,2,5,3,1,2,NA,2,3,1,2,1,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,2,1,0,100,NA,NA,2,1,2,1,1,NA,1,2,3,3,1,1,3,1,NA,NA,NA,2,1,2,NA,2,2,NA,1,NA,NA,NA,NA,4,NA,3,NA,NA,NA,NA,NA,2,2,1,1,2,1,2,3,3,NA,NA,NA,NA,2,2,3,4,2,3,2,2,NA,1,1,1,1,1,5,1,2,1,2,2,NA,2,3,2,1,3,3,1,1,0.638584969013611,0.568190050534717,0.300442659762886,"Online only"
"21",104727,2021-03-03 11:42:15,2021-03-03 11:51:34,2,1,1,2,1,2,NA,NA,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,1,NA,1,4,4,NA,1,1,1,NA,1,4,3,99,2,8,2,4,4,9,9,99,1,3,2,NA,1,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,100,0,3,3,NA,NA,3,3,2,1,NA,NA,1,1,1,2,2,2,2,2,2,NA,NA,NA,1,NA,1,NA,1,4,4,NA,NA,NA,NA,NA,1,1,1,1,1,2,2,1,1,2,1,2,NA,NA,NA,NA,2,1,2,2,3,3,1,3,2,2,NA,1,1,1,1,1,1,2,2,2,5,1,NA,1,1,9,1,2,2,2,3,2.77777157811254,2.7586670168572,1.24550579574555,"Neither"
"22",105124,2021-03-02 14:36:56,2021-03-02 14:51:58,2,1,2,1,1,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,4,3,4,3,3,NA,1,2,4,NA,2,2,2,NA,3,4,4,1,2,3,1,2,3,3,2,9,1,1,1,NA,3,1,2,2,1,1,2,2,1,1,1,1,2,1,1,1,1,2,3,2,2,2,2,2,1,70,10,NA,NA,1,2,2,2,2,NA,2,1,3,3,2,2,2,1,NA,NA,NA,3,2,4,NA,1,1,NA,1,NA,NA,3,2,NA,NA,NA,2,1,1,1,2,2,1,2,1,2,1,2,1,1,1,4,NA,NA,1,3,5,3,1,1,6,2,NA,1,1,1,1,1,1,2,2,2,1,1,NA,1,1,9,1,2,2,1,3,0.271570424360759,0.297645070310986,NA,"Online only"
"23",105205,2021-03-02 20:52:03,2021-03-02 21:08:46,1,1,1,1,1,2,NA,NA,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,1,NA,1,4,1,NA,1,1,4,NA,4,4,1,1,3,8,1,4,4,8,8,1,4,NA,3,NA,1,3,1,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,1,1,100,0,1,3,NA,NA,3,1,2,1,NA,NA,1,4,3,4,4,4,3,4,4,NA,NA,NA,1,NA,1,NA,1,4,4,NA,NA,NA,NA,NA,2,1,1,1,2,1,1,1,1,9,9,1,NA,NA,NA,NA,4,NA,1,2,3,3,2,2,4,2,NA,1,1,1,1,1,1,2,2,2,1,1,NA,1,1,9,1,1,2,1,3,0.522056893326307,0.64137813028144,1.05913333498677,"In-person only"
"24",105269,2021-03-04 00:02:14,2021-03-04 00:17:04,2,1,2,1,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,2,NA,4,4,3,NA,4,4,3,NA,2,3,2,3,1,4,3,4,1,3,2,1,3,1,3,NA,2,3,1,1,1,1,2,2,1,1,3,2,2,1,1,1,2,1,3,2,2,2,2,2,1,3,66,NA,NA,1,1,3,1,1,NA,1,2,4,4,1,2,4,3,NA,NA,NA,1,2,3,NA,1,3,2,NA,NA,NA,NA,NA,4,NA,3,1,1,1,1,1,2,2,2,2,2,2,2,1,2,4,4,NA,NA,1,2,4,4,1,1,6,2,NA,1,1,1,1,1,1,2,2,2,3,3,2,2,3,2,1,3,2,2,2,0.299159425275916,0.324431655942165,NA,"Both"
